Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-08-22,BOM5-1258,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,877.85,Shipment,MUMBAI,Shipment,877.85,0.0,1,False,
2025-08-22,BOM7-1303,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1315.0,Shipment,MUMBAI,Shipment,1315.0,0.0,1,False,
2025-08-22,BOM5-1261,GP46-L,B0F91GCRP4,nan,1,0.0,Cancel,NAJAFGARH,Cancel,0.0,0.0,0,False,
2025-08-22,BOM7-1301,PS5_CC1_GREY,B0BRJMPHKL,yantralay PS5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Station Accessories   Travel Bag   Grey,1,2375.53,Shipment,DELHI,Shipment,2375.53,0.0,1,False,
2025-08-21,BOM7-1297,GP48-L,B0FDX3LQT2,Yantralay Suction Jaw Clamp Mount Bracket with Ball Head of 360 Degree Rotation for Insta 360 X5 X4 X3,1,1323.08,Shipment,NOIDA,Shipment,1323.08,0.0,1,False,
2025-08-22,BOM7-1305,GP12,B0D7BZ38X8,yantralay Aluminium Car Suction Mount 360  Rotatable for Insta 360 X4 X3 X2  Ace Pro ONE R RS  Hero 13 12 11 10 9 8 7  DJI Osmo Action Series   All O,1,1252.27,Shipment,GHAZIABAD,Shipment,1252.27,0.0,1,False,
2025-08-22,BOM5-1260,GP46-M,B0F91GXT2N,yantralay Double Clamp Mount Bracket with 1 4  Ball Head for GoPro  Insta 360 X2 X3  Action Cameras   Handlebar  Motorcycle  Bicycle  Selfie Stick  St,1,1631.22,Shipment,NAJAFGARH,Shipment,1631.22,0.0,1,False,
2025-08-22,BOM5-1261,GP46-L,B0F91GCRP4,yantralay Double Clamp Mount Bracket with 1 4  Ball Head for Go Pro 13 12 11  Insta 360 X5 X4 X3 Handlebar  Motorcycle  Bicycle  Selfie Stick  Studio,1,1721.43,Shipment,NAJAFGARH,Shipment,1721.43,0.0,1,False,
2025-08-22,BOM7-1306,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,877.85,Shipment,MUMBAI,Shipment,877.85,0.0,1,False,
2025-08-22,PNQ3-517,IN1_AL,B0D4536M61,yantralay 4 in 1 Motorcycle Mount Bundle with Unicorn Helmet Extension Arm Adhesive Kit Compatible for Insta360 One X5 X4 X3 X2  ONE R RS  Hero 13 12,1,1927.39,Shipment,CHENNAI,Shipment,1927.39,0.0,1,False,
2025-08-14,BOM5-1178,GP45-M,B0F88CFJN2,yantralay Magnetic Camera Mount for Hero 13 12 11 10 9  Insta360 X5 X4 X3  Action 4 5  Osmo Pocket 3   360  Quick Release Car Holder  Heavy Duty Magn,1,-1599.53,Refund,DEBAGARH,Refund,-1599.53,0.0,0,False,
2025-08-13,BOM7-1222,PS5_CC1_GREY,B0BRJMPHKL,yantralay PS5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Station Accessories   Travel Bag   Grey,1,-2375.53,Refund,ERAVATTUR,Refund,-2375.53,0.0,0,False,
2025-08-22,BOM7-1299,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1315.0,Shipment,Bhubaneswar,Shipment,1315.0,0.0,1,False,
