Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-09-07,BOM7-1500,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,1260.03,Shipment,HYDERABAD,Shipment,1260.03,0.0,1,False,
2025-09-06,BOM5-1367,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1315.0,Shipment,THODUPUZHA,Shipment,1315.0,0.0,1,False,
2025-09-07,NAN,PS5_CC1_BLACK,B0BRJM4R9Q,nan,1,0.0,Cancel,Ulhasnagar,Cancel,0.0,0.0,0,False,
2025-09-01,BOM7-1425,SHOTGRIP_TLS,B0FCSFYHRJ,yantralay x Teles in ShotGrip   Magnetic Camera Grip with Wireless Shutter for Phone 16 15 14 13  Android  1 4  Tripod Mount Compatible  DSLR Style Cr,1,-2362.92,Refund,HYDERABAD,Refund,-2362.92,0.0,0,False,
2025-09-07,BOM7-1503,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,1260.03,Shipment,UDUPI,Shipment,1260.03,0.0,1,False,
2025-09-06,BOM7-1496,PS10_PS5PORTALCOMBO,B0DF2Z2X1Q,yantralay 6 in 1 Hard Carrying Case with Protective Cover for Play Station 5 Portal  Non Slip Soft Case Cover   Screen Protectors   Thumb Grips for PS,1,2007.9,Shipment,JAMMU,Shipment,2007.9,0.0,1,False,
2025-09-06,BOM7-1498,PS5_CC1_GREY,B0BRJMPHKL,yantralay PS5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Station Accessories   Travel Bag   Grey,1,2375.53,Shipment,NAGPUR,Shipment,2375.53,0.0,1,False,
2025-09-07,BOM7-1504,PS_CDRACK-BLUE,B0DWY1M5G4,yantralay Game Storage Tower for PS5 Xbox Series Switch   Holds 18 Game Discs with 4 Controller Holders   Gaming Desk Organizer   Stand  Blue,1,1745.03,Shipment,CHENNAI,Shipment,1745.03,0.0,1,False,
2025-09-07,BOM7-1505,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2552.07,Shipment,REASI,Shipment,2552.07,0.0,1,False,
2025-09-05,BOM5-1363,DA35,B0F9FM9XHJ,Yantralay Professional 360  Rotating Metal Tripod Ball Head   Quick Release Plate with Bubble Level   8kg Load Capacity   1 4  Screw for DSLR  Camera,1,1900.0,Shipment,DEHRADUN,Shipment,1900.0,0.0,1,False,
2025-09-07,BOM7-1499,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,JAITUjaitu,Shipment,2375.53,0.0,1,False,
2025-09-07,BOM7-1502,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,NAVI MUMBAI,Shipment,2375.53,0.0,1,False,
2025-09-07,BOM7-1501,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,Ulhasnagar,Shipment,2375.53,0.0,1,False,
2025-09-07,PNQ3-546,PS2_RED,B0BL1HF4NJ,yantralay Nylon Controller Gamepad Carry Case   Ultimate Protection Compatible For PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protectio,1,469.06,Shipment,PIMPRI CHINCHWAD,Shipment,469.06,0.0,1,False,
2025-09-07,PNQ3-546,PS2_BLUE,B0BL1H24P4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,469.06,Shipment,PIMPRI CHINCHWAD,Shipment,469.06,0.0,1,False,
2025-09-01,BOM5-1340,GP28COMBO1_H13,B0DHYCQR66,Yantralay Silicone Lanyard Sleeve Protective Cover   6PCS Tempered Glass Screen Guard with Silicone Lens Cover Compatible with GoPro Hero 9 Black Acti,1,-626.62,Refund,VASAI VIRAR,Refund,-626.62,0.0,0,False,
2025-09-05,BOM5-1359,GP28COMBO_X3N,B0BY8178B6,PellKing Camera Protective Accessories Kit for Insta360 X3  Inst 360 X3 Bundle Include Lens Guard Silicone Protective Cover Screen Protectors Camera C,1,-1086.4,Refund,MUMBAI,Refund,-1086.4,0.0,0,False,
2025-09-07,PNQ3-547,PS5_VERTICALSTAND,B0DGTZGCNQ,yantralay 2 in 1 Vertical Stand for PS 5   PS 5 Slim Consoles Non Slip Base Mount for PS 5 Accessories  for PS5   PS5 Slim Digital   Disc Version,1,872.03,Shipment,AHMADNAGAR,Shipment,872.03,0.0,1,False,
2025-09-07,BOM5-1371,SHOTGRIP_TLSN,B0F66YYCTQ,Magnetic Phone Camera Grip  Smartphone Shooting Holder Selfie Handle Snap with Wireless Shutter Button Remote for iPhone 16 15 14 13 12 Pro Max Androi,1,2375.53,Shipment,MUMBAI   400053,Shipment,2375.53,0.0,1,False,
2025-09-07,BOM5-1370,TY98_TUYU,B0F7RP62NV,yantralay Motorcycle Windshield Mounting Clamp Aluminum Mount for Insta 360 X5 X4 X3  Go Pro Hero 13 12 11 10 9  D J I Action 5 Pro  4 3 Action Camera,1,1795.47,Shipment,GHUGHULI,Shipment,1795.47,0.0,1,False,
2025-09-07,BOM7-1508,GP46-M_GP46-S_GP25_150CMS,B0F99WWGGT,yantralay Motorcycle Handlebar Clamp Kit with Dual Clamp Mounts   Invisible Selfie Stick for Insta 360 X4 X3 X2 One RS GO 3   Bike Action Camera Mount,1,4254.42,Shipment,Mumbai,Shipment,4254.42,0.0,1,False,
2025-09-04,BOM7-1462,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,-1260.03,Refund,Kamshet,Refund,-1260.03,0.0,0,False,
2025-09-08,BOM7-1512,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2552.07,Shipment,MUMBAI,Shipment,2552.07,0.0,1,False,
2025-09-08,BOM7-1514,SHOTGRIP_TLSN,B0F66YYCTQ,Magnetic Phone Camera Grip  Smartphone Shooting Holder Selfie Handle Snap with Wireless Shutter Button Remote for iPhone 16 15 14 13 12 Pro Max Androi,1,2375.53,Shipment,HYDERABAD,Shipment,2375.53,0.0,1,False,
2025-09-08,BOM5-1373,PS10_PS5PORTAL,B0DVT5SJD2,yantralay Hard Carrying Protective Case for Play Station Portal for PS5 Portal Console  Storage Case Only,1,969.03,Shipment,HYDERABAD,Shipment,969.03,0.0,1,False,
2025-09-07,BOM5-1372,CWATCUN_D125-BLACKN,B0D8J126MV,Cwatcun Camera Backpack Bag Small Fashion DSLR Camera Bag with Tripod Strap Laptop Compartment and Removable Padded Dividers Lightweight Photograhy,1,3499.0,Shipment,PUNE,Shipment,3499.0,0.0,1,False,
2025-09-03,IN-254,LGOA360,B0FP9LYYWR,yantralay Lens Guard for DJI Osmo 360 Camera   Waterproof Dustproof Snap On Lens Protective Cover  Easy Installation  Osm o Action 360 Accessories,1,-1299.0,Refund,NAVI MUMBAI,Refund,-1299.0,0.0,0,False,
2025-09-08,BOM7-1515,SHOTGRIP_TLS,B0FCSFYHRJ,yantralay x Teles in ShotGrip   Magnetic Camera Grip with Wireless Shutter for Phone 16 15 14 13  Android  1 4  Tripod Mount Compatible  DSLR Style Cr,1,2362.92,Shipment,SURAT,Shipment,2362.92,0.0,1,False,
2025-09-06,IN-280,LGOA360,B0FP9LYYWR,yantralay Lens Guard for DJI Osmo 360 Camera   Waterproof Dustproof Snap On Lens Protective Cover  Easy Installation  Osm o Action 360 Accessories,1,1260.03,Shipment,BENGALURU,Shipment,1260.03,0.0,1,False,
2025-09-06,IN-279,GP43_ONEX3_STARTRC,B0CT5WZTJ7,yantralay Carry Pouch Bag for Insta 360 ONE X3 Camera   Compact   Portable   Excellent Scratch Protection   Ideal for Driving  Hiking  Black,1,629.53,Shipment,Kolkata,Shipment,629.53,0.0,1,False,
2025-09-06,IN-278,LGONEX5,B0FKYLQ2QZ,Yantralay Accessories for Insta 360 X5   Lens Guard Set of 2   Insta 360 X5 Accessories  X5 Lens Guard,1,657.06,Shipment,BENGALURU,Shipment,657.06,0.0,1,False,
2025-09-05,IN-274,LGOA360,B0FP9LYYWR,yantralay Lens Guard for DJI Osmo 360 Camera   Waterproof Dustproof Snap On Lens Protective Cover  Easy Installation  Osm o Action 360 Accessories,1,1260.03,Shipment,BENGALURU,Shipment,1260.03,0.0,1,False,
2025-09-06,IN-281,LGOA360,B0FP9LYYWR,yantralay Lens Guard for DJI Osmo 360 Camera   Waterproof Dustproof Snap On Lens Protective Cover  Easy Installation  Osm o Action 360 Accessories,1,1260.03,Shipment,Aurangabad,Shipment,1260.03,0.0,1,False,
2025-09-08,IN-287,LGOA360,B0FP9LYYWR,nan,1,0.0,Cancel,BENGALURU,Cancel,0.0,0.0,0,False,
2025-09-06,BOM7-1493,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,Dimapur,Shipment,2375.53,0.0,1,False,
2025-09-02,BOM7-1443,ND_AVATA2_STARTRC,B0DX7CQYH1,Yantralay x Start rc 4 Pack ND8 ND16 ND32 ND64 Filter Compatible with DJI Avata 2  Neutral Density Camera Lens ND Filter,1,-3314.0,Refund,Hyderabad,Refund,-3314.0,0.0,0,False,
2025-09-08,BOM7-1519,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,1,1164.97,Shipment,New Delhi,Shipment,1164.97,0.0,1,False,
2025-09-07,BOM7-1507,GP28COMBO_X3N,B0BY8178B6,PellKing Camera Protective Accessories Kit for Insta360 X3  Inst 360 X3 Bundle Include Lens Guard Silicone Protective Cover Screen Protectors Camera C,1,1086.4,Shipment,MUMBAI,Shipment,1086.4,0.0,1,False,
2025-09-02,BOM5-1346,GP45-M,B0F88CFJN2,yantralay Magnetic Camera Mount for Hero 13 12 11 10 9  Insta360 X5 X4 X3  Action 4 5  Osmo Pocket 3   360  Quick Release Car Holder  Heavy Duty Magn,1,-1607.0,Refund,BENGALURU,Refund,-1607.0,0.0,0,False,
